LOAN,MORTDUE,VALUE,YOJ,CLAGE,CLNO,DEBTINC
11700,59932,80313,14,238.4864616,32,44.4749177
11700,40266,59097,,74.9980986,15,39.49702872
11700,,69125,,,,23.76683213
11700,84863,91737,0,,4,30.33081149
11700,63724,82252,13,233.2488794,37,40.07527584
11700,59506,85000,3,37.56666667,4,
11700,69100,85000,3.8,80.1,22,
11700,62400,78000,20,216.0666667,24,
11700,63914,93707,7,162.579837,51,69.48065039
11700,37093,62116,,,,37.01094877
11700,74783,86227,7,116.7568005,23,28.01922708
11700,64278,76055,12,245.2951629,26,28.43996584
11700,15163,74500,19,378.8258185,11,20.09078333
11700,56441,86987,17,198.0327176,16,33.93116342
11700,78157,103016,1,69.80569767,24,38.44838712
11700,55119,67931,4,199.4106992,16,27.61633851
11700,56990,83334,4,177.4326989,13,30.9986945
11700,101520,110617,18,198.5433481,16,38.72125945
11700,96532,107600,12,214.8698168,15,40.28741144
11700,68059,86216,3,175.6585679,35,30.25396992
11800,74512,93328,4,117.91882,16,58.29598994
11800,118053,125325,5,181.1720651,18,33.20039733
11800,52104,61618,0,160.7499314,21,37.12951204
11800,79131,102263,5,105.2538926,34,36.07097887
11800,67678,108092,13,126.6582316,36,37.16268969
11800,,65769,,357.3326822,7,34.32727654
11800,21813,30436,5,104.0116359,16,19.40846123
11800,44944,57132,,74.15604508,14,42.81224294
11800,57760,65535,11,108.4694005,18,32.78348357
11800,65062,78004,12,251.1441957,31,43.37237282
11800,67336,82218,12,255.3135348,36,40.87842824
11800,86785,125552,11,148.1764924,22,37.88444933
11800,116742,137385,15,170.5400351,33,30.78500359
11800,38825,51984,,82.52779435,14,40.88273326
11800,32257,59515,23,231.5999445,29,25.70127642
11800,,51246,11,305.5667157,13,32.50005907
11800,65012,91614,26,171.8895469,13,42.48851705
11800,53596,69786,5,126.7877807,24,41.04775488
11800,98877,110250,18,195.8629168,16,36.87169942
11800,112146,140781,14,170.7005075,32,29.9424924
11900,44600,63800,9,243.5,18,
11900,54867,79000,1,182.6,23,
11900,44142,54299,22,123.4711472,22,37.1549023
11900,56443,86913,12,119.8594097,24,38.86165697
11900,85486,109386,11,175.5425655,28,33.67090818
11900,108763,128780,8,60.3779329,21,49.41811438
11900,56792,64130,13,118.6125902,18,32.6657463
11900,,39433,,81.39482961,9,35.50366426
11900,71000,87000,20,238.4666667,24,
11900,85179,122788,10,,,39.43073063
11900,41009,68211,23,234.9296174,28,28.3910393
11900,28329,80963,21,239.4571177,10,24.53499719
11900,117550,144178,15,170.9458328,32,29.09998121
11900,58104,77870,7,69.43333333,19,
11900,52814,72000,12,123.6,20,
11900,34222,59948,24,228.0753508,29,25.72883738
11900,26601,52544,0,240.6943608,11,40.77567715
11900,81849,105403,5,82.63950538,34,36.50598321
11900,29822,48574,13,132.4016914,4,36.61115697
11900,201264,227295,10,239.7433663,22,33.77633696
11900,97506,110902,17,196.568128,15,37.99899138
11900,89595,107895,9,250.4682419,24,30.30538811
11900,63833,,3,,,40.93276678
11900,78959,104371,1,79.08139722,23,40.02421108
11900,83877,208924,15,12.75204694,7,18.24972192
11900,114329,143915,15,185.5726683,32,28.97773866
11900,81318,105454,6,92.13682104,33,37.52575103
11900,61094,74842,12,250.1998344,26,29.73487407
12000,84172,123415,9,139.0184494,21,38.58266988
12000,83560,126479,8,,,38.92831569
12000,63019,74204,6,98.59173833,14,24.49043836
12000,41182,59947,23,118.1799392,22,37.13106416
12000,57371,69076,10,83.25197204,19,29.63210826
12000,76799,83864,8,102.2042743,22,27.17193008
12000,35028,55079,23,108.6339686,23,40.79745755
12000,30777,43157,8,151.699431,28,38.17774295
12000,7804,65395,8,347.1233258,21,16.81630749
12000,38130,68707,23,234.8879805,29,26.3012369
12000,15756,53079,23,259.5550444,20,29.39747822
12000,50581,70171,,206.3192338,12,29.84313667
12000,69796,93757,16,91.43267591,8,24.45938368
12000,102109,121229,2,104.4825912,25,34.76728889
12000,79844,98139,8,156.9547583,34,31.70012432
12000,76345,89036,8,91.97034976,19,50.17306503
12000,35721,52938,23,125.928071,22,38.62702499
12000,72786,84595,4,198.7693251,30,38.09020903
12000,42000,60000,4,145.5333333,23,
12000,69000,92900,2,115.9,15,
12000,74427,96270,18,169.7333333,40,
12000,,,3,213.6666667,15,
12000,43000,64000,1,262.9666667,21,
12000,96000,135000,14,126.8,22,
12000,46000,60200,4,176.5,14,
12000,87000,101200,13,151.1333333,18,
12000,98000,123385,10,170.4333333,32,
12000,76187,93100,0.5,144.0666667,23,
12000,73000,94900,9,189.7,30,
12000,150000,175065,7,206.6666667,26,
12000,29600,61250,7.5,264.8,16,
12000,,63000,0,,0,
12000,94000,112125,2,143.0333333,22,
12000,72000,106000,6,78.06666667,14,
12000,42482,67800,19,199.9,16,
12000,53800,80000,0.3,124.7666667,11,
12000,88000,118750,3,153.5,26,
12000,44000,59500,3.7,172.5,14,
12000,81000,105250,9,200.9,37,
12000,36346,54000,,114.6666667,19,
12000,81000,99000,20,136,24,
12000,64000,80000,2,239.5333333,26,
12000,,87000,13,,,
12000,85039,111100,0.2,144.0666667,34,
12000,87000,113850,11,216.1333333,12,
12000,,,19,195.8333333,13,
12000,75373,102602,6,99.36666667,21,
12000,36000,51900,0.1,247.5,10,
12000,114390,132800,10,95.73333333,25,
12000,28298,72000,8,105.5,22,
12000,118000,139350,2,153.1666667,17,
12000,87917,,12.9,71,12,
12000,58730,80000,10,123.1,25,
12000,59099,82000,10,219.1333333,33,
12000,15231,42845.01,6.5,65.96666667,18,
12000,48786,89800,29.9,220.1333333,16,
12000,74265,91000,7,137,3,
12000,42000,58000,5,113.6333333,18,
12000,76674,97936,5,147.9142027,27,41.22576316
12000,54257,82764,14,188.3374218,31,38.94275964
12000,36072,62960,8,288.5298732,16,22.42300246
12000,97650,115931,11,199.828042,17,34.38794397
12000,,67446,,356.9333304,7,37.93444341
12000,88210,114224,8,203.468979,36,41.57297152
12000,84191,100654,0,79.67788538,20,33.77330326
12000,63589,75959,14,253.616928,31,43.15970058
12000,,33879,,121.3795359,4,39.69469137
12000,48189,53969,5,276.3817427,18,65.49524315
12000,98428,114820,16,188.1482082,15,36.73772129
12100,56335,86648,17,206.2470947,17,35.12787435
12100,48622,83158,4,191.5692916,12,29.20449956
12100,58556,76724,3,234.6585447,16,37.63925293
12100,186062,227171,0,67.78084803,4,26.990533
12100,13218,82386,7,262.3942543,14,18.43047238
12100,96439,126328,3,156.3191309,26,39.27931325
12100,44484,64398,3,263.0447041,20,28.80398255
12100,29097,72647,8,109.5148795,22,45.30476057
12100,90917,102400,11,159.874518,17,33.4537285
12100,50100,66410,3,176.0098643,14,28.54860369
12100,68941,75029,14,254.1896555,31,43.89784955
12100,50150,65565,4,166.2317086,13,26.64432479
12100,50973,74183,6,122.6918271,24,41.12808531
12100,22000,38750,0.8,167.4,17,
12100,12000,33938,9,118.7666667,11,
12100,31400,48000,6,107.5333333,16,
12100,67000,79100,5,155.2,32,
12100,67927,94126,2,35.53887812,3,38.84759708
12100,,72731,0,,0,0.7202950067
12100,74594,90555,4,123.7766246,27,41.63484731
12100,83557,98881,6,102.2257045,26,25.78278709
12100,61868,66874,30,170.4386392,23,37.915021
12100,46152,72773,0,270.4899801,20,29.49511599
12100,97185,113004,13,202.6225313,15,37.71664611
12100,105104,144712,13,129.5188081,22,37.41377466
12100,71060,79744,3,179.8663489,35,29.89415099
12100,85121,113744,0,139.4853397,34,33.94343772
12100,28193,34705,0,,,37.6180269
12100,18728,34443,9,117.6482829,10,21.58983638
12100,55147,72553,0,229.4061754,10,35.86772963
12100,48149,74539,17,200.0325616,15,23.13097189
12200,61929,83102,14,238.5249274,32,44.44967097
12200,110088,137794,3,251.1518919,46,33.51711722
12200,57785,72971,2,166.8994602,16,34.70964393
12200,67474,88473,2,234.7759967,26,29.09729879
12200,136866,162906,4,427.9235915,43,30.1821229
12200,80336,102618,2,79.73026062,19,34.40548234
12200,97000,109800,5,152.1333333,33,
12200,91000,114053,11,173.5,27,
12200,206613,232176,10,237.3157697,22,30.68943921
12200,45095,64736,9,249.6737711,18,31.63530262
12200,70722,81760,0,219.7852728,26,30.27700538
12200,199232,229929,11,223.4381168,21,31.3702723
12200,82904,125057,8,131.6590526,21,37.27313999
12200,61302,90873,2,35.97354161,4,39.97361316
12200,27118,87982,19,232.2369961,11,25.2354388
12200,53242,70400,14,169.9306635,18,34.62942766
12200,57112,76050,1,235.2292688,9,35.11318533
12200,90154,110479,9,196.9264059,37,43.1890315
12200,86775,111572,0,138.6100805,33,34.35180836
12300,79838,85209,8,173.8386239,11,37.8244708
12300,114035,137208,15,173.7143227,33,32.05607229
12300,89333,106107,19,120.2578861,24,28.77470213
12300,24552,48278,0,171.0751046,16,29.29955094
12300,61253,85825,5,130.026259,34,27.20337824
12300,152107,179793,7,212.7829956,25,43.13409505
12300,48866,73023,11,251.629062,29,32.87687074
12300,48238,66603,6,80.38898294,11,40.01910455
12300,112373,136202,16,179.8829733,32,30.48826811
12300,69499,104045,8,219.0904891,20,18.58475695
12300,60200,77079,13,242.2441382,32,45.39416855
12300,,50530,5,163.54096,9,20.02628441
12300,78000,101200,0.4,145.0666667,19,
12300,50230,70000,1,184.3666667,20,
12300,49800,64000,23,232.3333333,17,
12300,77000,94000,41,212.8666667,17,
12300,114457,144284,1,252.6592531,45,32.4971451
12300,52622,64407,0,191.0774254,13,26.20306729
12300,152274,177940,4,196.8767577,56,33.72276915
12300,27859,48393,10,82.76016033,3,34.38536707
12300,90006,121122,9,133.4975408,21,36.91048167
12300,159798,177853,6,206.8170726,25,41.42504139
12300,81590,90050,6,136.7467587,26,41.73267582
12300,35651,59795,22,118.6530642,23,40.66298165
12300,50441,56656,1,186.4510167,21,35.45260742
12300,33061,46277,8,154.8992783,28,39.70178286
12300,102908,124217,9,159.9940264,31,27.7074439
12300,141020,157511,4,403.7489298,43,29.58318425
12300,92573,119325,2,157.6206429,33,34.77510251
12300,73099,84250,4,,,40.22228314
12300,11300,39000,,170.4333333,21,
12300,68024,78800,7,125.5040514,35,29.29334435
12300,64265,90956,10,233.1561248,32,32.90882386
12400,132894,198168,0,355.1639113,16,40.54029537
12400,31303,57444,29,246.7168274,18,20.20590752
12400,80510,97548,1,74.40426333,19,36.45734993
12400,137927,160566,6,436.7517799,42,29.27255681
12400,45604,65501,9,70.33753056,24,35.21218126
12400,26768,52411,0,253.3180433,11,38.82102132
12400,203902,234454,9,213.4554475,22,33.64852105
12400,16375,36672,8,120.674928,11,24.08943715
12400,49264,57923,0,182.0010415,13,27.00877688
12400,36034,62953,9,262.0793453,16,21.34522735
12400,,69350,0,,0,2.365195413
12400,94000,112000,4,,0,
12400,115902,146813,1,288.4676266,45,33.05428433
12400,115004,144760,2,279.5221733,46,35.61473143
12400,57105,74582,12,134.0317679,20,36.92573641
12400,34055,40739,9,147.012827,29,39.93094736
12400,50573,84008,15,76.04208693,7,41.02796675
12400,,65317,,349.2796108,6,35.71441843
12400,25805,31414,2,,,38.2372256
12400,24769,87665,21,238.3827694,11,25.33220131
12400,83018,96637,2,95.90213133,32,41.24477919
12500,93538,118369,0,132.8237118,33,34.83386481
12500,37562,57081,22,129.486844,23,39.08300244
12500,69117,101503,13,145.9530178,36,36.75998466
12500,157312,181050,7,209.7067368,25,40.90561976
12500,10035,61897,6,368.7377963,21,14.73359483
12500,83276,129116,7,138.687955,22,39.58996183
12500,57294,66615,3,321.3875868,9,31.38089909
12500,101047,118913,2,156.6054917,22,35.89928784
12500,56960,69014,4,307.636664,10,30.36248382
12500,83924,100114,0,71.30419761,20,34.71276881
12500,79900,94660,19,252.3496982,24,35.80049203
12500,,52026,6,173.7172393,8,21.6211951
12500,41000,64680,2,70.9,30,
12500,41301,60000,2,77.23333333,12,
12500,55000,75393,0.75,113.0333333,16,
12500,77100,90550,,173.4666667,26,
12500,71582,93400,6,74.06666667,21,
12500,53060,67500,16,183.6333333,15,
12500,69192,105300,4,282.0333333,23,
12500,62000,102600,10,226.4333333,42,
12500,50097,73846,1,267.8654583,20,29.15960949
12500,77792,100812,10,182.9569956,29,27.38587324
12500,53354,79893,10,249.4359543,29,35.02088579
12500,66163,83727,4,176.9352475,30,36.77463995
12500,81865,101048,1,147.4022274,23,38.85516272
12500,17659,31843,7,107.7410948,16,19.30085445
12500,55228,66569,3,198.8151672,17,27.99687276
12500,77937,89710,19,223.5874152,24,35.95199865
12500,26286,36002,2,,,38.43868186
12500,,39200,0,309.4,9,
12500,56791,72974,29,182.0664052,24,35.69162282
12500,,,,,,27.35264423
12600,71370,90316,26,162.3574415,14,39.8754838
12600,84933,110253,8,192.4226063,37,40.84507779
12600,80612,93802,5,141.6131456,26,40.74903888
12600,68800,86000,3,202.8666667,26,
12600,41169.82,57000,5.5,98.43333333,18,
12600,83921,90876,3,106.9373967,32,41.47300108
12600,45633,77578,19,209.7255196,15,23.91561488
12600,103946,113900,17,194.3599393,16,36.41457282
12600,125688,198602,0,344.7479335,16,39.48382007
12600,86785,110400,0.7,89.06666667,27,
12600,72854,86209,2,118.0696474,14,36.05148718
12600,67860,103426,9,202.1526339,20,18.34752939
12600,103960,127384,2,129.0154994,25,34.47945476
12600,32742,41299,10,170.4071064,29,37.80266959
12600,25000,37882,8.8,87.2,12,
12600,48983,65000,5,58.7,23,
12600,62493,77141,13,266.3331014,26,27.0078722
12600,55415,74307,29,198.8467209,23,36.83774105
12600,58247,72189,30,198.243176,23,35.79425984
12600,100590,138649,14,138.1647046,22,34.5987274
12600,85335,97094,2,116.086609,32,40.84524619
12600,83552,107186,21,128.6602454,24,28.72301763
12600,37699,59874,22,114.2359516,23,38.68267604
12600,76002,94236,11,164.7623042,21,39.52570494
12600,49986,67896,3,190.1599072,17,29.26631718
12700,204038,230920,10,242.9128934,22,29.80162732
12700,79448,91004,20,227.5073902,23,34.46430215
12700,149272,176467,7,191.9044636,55,33.90232001
12700,29471,48362,9,79.90287141,4,36.0206079
12700,72760,83604,6,189.9194249,29,37.36856046
12700,,41396,0,302.8700505,8,27.98946659
12700,79383,107590,5,78.29927353,14,33.5811165
12700,30428,47387,2,164.4900213,36,38.8741586
12700,103034,124116,2,137.4386924,25,31.60310093
12700,58293,82594,13,105.050415,23,36.70044554
12700,30061,58714,29,230.8801537,19,20.6379176
12700,27459,38577,16,72.32957204,9,31.60566546
12700,77068,98436,7,148.2880996,34,33.46369747
12700,130867,201245,0,340.7953444,15,40.16882702
12700,61840,73541,1,157.8924467,35,41.65169171
12700,79898,101989,9,214.9964598,29,29.30607111
12700,105293,121416,14,250.0188805,16,35.28716643
12700,60122,93741,0,38.33492385,3,42.10934773
12700,72164,104220,10,165.4307821,13,37.53996336
12700,48139,64842,0,192.4791522,13,26.54684008
12700,9038,65969,7,346.5801028,22,13.34721268
12700,59440,88690,0,129.1526151,11,37.83827353
12700,53199,82567,3,185.3250354,13,27.39038041
12700,58606,83010,1,125.3258854,11,35.99961072
12700,159661,183244,7,210.1152209,26,43.76819178
12700,107653,129752,8,181.0272753,32,29.46672103
12700,37346,53511,23,136.9569407,22,39.43166373
12800,99160,114619,2,142.2125619,22,35.94987705
12800,66293,92423,27,169.7238883,14,41.23216256
12800,117391,210072,1,136.6209694,14,27.12488931
12800,54546,62906,3,175.5198745,16,28.64818571
12800,49349,70078,9,240.9080591,17,31.75405395
12800,56516,78392,0,195.7233219,13,27.33744139
12800,40932,72172,20,162.0440104,16,37.51836575
12800,100241,113073,17,197.2736792,15,39.46758845
12800,73624,103213,10,201.6508442,20,19.55727283
12800,,,,,,25.13244854
12800,,,,,,24.65967048
12800,206527,227737,11,225.2013256,22,31.12184071
12800,54151,83828,13,132.1602699,16,23.47742628
12800,81030,100333,11,80.14894304,29,42.31937039
12800,67867,78660,3,159.8014934,34,30.01090961
12800,48437,65311,0,260.5552362,21,29.51628985
12800,51800,68000,6,,,
12800,111000,124500,7,203.9,40,
12800,76783,95007,6,140.9720223,26,42.15361693
12800,58592,87002,13,139.5308428,24,37.53107709
12800,11986,48309,23,265.2270609,20,28.49386194
12800,46043,62531,4,183.9821005,13,26.10080257
12800,42801,51123,23,127.839662,22,39.38959461
12800,67060,83989,9,116.4667574,24,43.57230751
12800,91040,114331,12,175.8773501,26,34.74718504
12800,71531,87256,26,167.1637357,14,40.37613759
12800,75139,105289,8,151.8511659,35,31.21070474
12800,77318,97616,6,125.5348018,27,39.46266339
12800,85251,114023,1,143.6827959,33,31.91327241
12800,79151,110583,4,79.3713845,13,33.58669163
12800,29100,39264,7,93.39500247,12,31.28306102
12800,81694,101680,0,159.3541041,22,40.1115783
12800,68729,90127,23,163.9892789,14,39.42448779
12900,69770,87000,6,201.9333333,19,
12900,94000,,8,205.9333333,19,
12900,34655,57787,31,244.9953846,18,21.4155043
12900,64245,83823,13,246.8377195,36,40.56013033
12900,39401,53758,22,118.6463752,23,38.68944062
12900,58566,74655,5,116.7758176,24,39.97705119
12900,105638,112608,17,208.3068822,16,39.67790581
12900,59191,72716,2,175.170441,17,35.55817128
12900,29891,76571,2,29.05867023,11,31.45850053
12900,151991,179521,6,186.8053299,55,34.19175206
12900,102905,117694,1,137.1424731,21,35.86546621
12900,92734,114285,11,236.0527728,24,28.66341681
12900,87270,97929,0,65.10749654,20,34.69636554
12900,90646,100744,19,141.2084606,23,31.52637971
12900,66126,84472,2,187.1791987,34,29.99503841
12900,67038,110955,9,147.1974137,12,37.08598608
12900,89510,102628,20,117.8571727,24,28.53735409
12900,46266,62000,7,77.13333333,18,
12900,83886,100782,5,115.076186,27,27.97970643
12900,31498,42695,14,55.02158895,9,31.99275348
12900,149297,177044,4,205.8739212,56,34.97573417
12900,117900,143433,6,227.9328934,35,47.61976353
12900,55673,64582,4,163.4166317,14,26.98743734
12900,88304,122178,10,223.4548548,12,41.42995887
12900,50636,57838,0,187.8253233,13,28.81347094
12900,52353,62740,2,167.515516,13,37.3575814
12900,89492,110007,10,169.1919843,28,32.82003727
12900,19688,77998,20,407.2611669,12,22.83907899
12900,70167,90812,25,177.0806266,13,40.22569567
12900,45215,66162,4,170.7645169,14,39.24801492
12900,56957,73181,29,179.096166,23,36.39479545
12900,56798,71364,1,225.5857631,9,33.02128407
12900,61031,71550,28,178.0872568,23,34.80242878
12900,18106,37881,8,134.3841089,10,20.51596186
13000,64499,86000,1,109.4,19,
13000,15374,59309,6,355.1312291,21,15.82361555
13000,27787,44901,8,166.7262772,28,38.35512561
13000,81972,102295,5,107.4206093,26,24.72083108
13000,,28981,28,203.902855,4,25.7409307
13000,61509,77065,6,172.8544902,17,35.39086131
13000,80587,110064,6,85.00919673,13,33.99003975
13000,72931,96803,6,208.6728918,18,41.05223501
13000,29461,49326,11,171.5976685,8,38.91799988
13000,78766,106450,6,107.9513117,26,24.87099388
13000,49268,72430,19,192.3644746,15,23.61710487
13000,39386,53149,4,110.4779566,16,38.52175901
13000,67395,94355,8,214.4844926,28,40.97046682
13000,53951,70095,28,212.3869245,24,36.72874424
13000,,72175,,367.9400249,6,36.56113974
13000,29196,42682,9,143.1080607,28,37.29840496
13000,96172,112123,14,181.8918044,18,36.22557157
13000,88614,116994,13,188.8241991,28,32.61950164
13000,16913,48587,23,264.9921562,20,30.62263556
13000,125969,144076,4,110.1931963,30,48.9777317
13000,70000,90704,15,142.1666667,37,
13000,34000,65000,4.5,148.5,24,
13000,38200,64764,4,211.0666667,18,
13000,6793,47700,4,304.3666667,16,
13000,59000,83187,,292.1,20,
13000,61612,99132,8,262.7333333,12,
13000,,25425,13,90.93333333,9,
13000,20200,37245,21,199.9,16,
13000,7200,24869,0.7,193.8,9,
13000,41193,58000,18,66.93333333,7,
13000,36223,,9,132.8666667,14,
13000,43744,60000,22,21.26666667,15,
13000,94941,120000,0.1,132.8666667,21,
13000,137618,159000,9,106.5333333,37,
13000,47000,60000,1,,12,
13000,177000,200000,3,195.8333333,50,
13000,60000,86400,12,149.1666667,28,
13000,111000,137813,6,138.3333333,65,
13000,152029,173750,20,19.33333333,5,
13000,26863,44218,10,92.99959341,11,29.11293616
13000,110094,145807,2,285.2759347,45,35.04547106
13000,66014,85528,4,185.6449939,30,39.41871848
13000,61865,72045,0,172.6966846,34,42.56558229
13000,,25552,28,198.0728056,5,25.50782049
13000,77355,114400,,,,
13000,44875,57713,0,184.9903244,12,28.60207607
13000,110097,210595,3,122.6386999,15,29.32751367
13000,60719,73677,11,256.7103553,26,27.31010697
13000,80277,106799,3,67.11166592,14,37.29777299
13000,40996,58938,,,,35.80961273
13100,48153,70059,11,242.6505336,18,30.89311822
13100,70878,86743,10,174.8817439,11,39.78440826
13100,74832,98616,6,101.3622896,26,27.02148065
13100,59608,72561,30,195.5387113,24,36.61107299
13100,69259,75149,11,240.4102919,37,40.73560441
13100,,,0.75,,,
13100,64897,81598,7,130.6484684,34,26.50010508
13100,,47568,0,319.5959373,8,25.83678517
13100,22422,34800,2.6,93.3,3,
13100,82411,103833,21,135.8630384,24,29.21582663
13100,70368,87407,2,232.9947127,26,29.66798564
13100,,65933,0,,0,3.657370718
13100,50552,59889,4,178.6123626,13,38.76331381
13100,73987,106557,9,149.4525291,13,37.00852693
13100,61853,73480,13,258.9371542,26,28.73085117
13100,97287,123281,9,162.9937439,26,34.17834568
13100,59460,72387,29,182.1817822,24,34.78513256
13100,54000,74750,14,92.4,9,
13100,58039,68558,29,184.8800106,23,37.34734877
13100,44817,59544,,71.46170475,15,41.60981324
13200,155478,183646,5,196.2413709,55,35.60287536
13200,,69139,0,,1,1.565931047
13200,70069,88303,3,240.8560165,25,29.06412827
13200,69195,79252,13,248.7881304,37,41.90560462
13200,69697,91722,24,183.5237293,14,39.75217179
13200,58549,81381,13,94.68710666,24,38.41275614
13200,15346,30809,7,89.65253609,16,18.10528202
13200,65372,81426,4,102.6208363,29,38.93416913
13200,65997,88000,2,113.2333333,25,
13200,93254,125738,3,156.5454512,25,42.73666557
13200,22270,38437,5,107.7733867,17,20.64319968
13200,77241,112904,5,68.54904501,14,34.53524372
13200,81654,114333,5,97.96296166,13,33.74336765
13200,71775,80480,0,240.6435766,25,29.26799242
13200,28428,34477,0,,,39.37026271
13200,59422,88308,,294.7820846,19,29.95255446
13200,117985,138969,16,178.0647524,33,29.95423093
13300,58000,75000,6.6,226.2,33,
13300,96201,124892,3,178.0344633,26,40.10275183
13300,76663,96022,10,180.0294503,30,27.04500676
13300,80059,121790,,,,34.5618314
13300,61414,72101,12,260.0716499,27,27.28688203
13300,81944,108768,5,81.10679915,13,33.86964175
13300,67483,85454,16,335.9893152,14,30.37586285
13300,60014,75695,1,182.0643734,20,40.20667111
13300,64002,88174,3,157.9169897,34,29.79823118
13300,,72583,1,,0,3.72042142
13300,35000,44195,8,91.92352891,4,35.24312086
13300,14212,57608,3,322.004542,16,15.91676921
13300,57878,69907,1,154.4848138,35,41.11915349
13300,45860,63500,7,127.7666667,9,
13300,153411,182014,7,198.39162,25,41.98711554
13300,44509,72292,3,208.9206936,17,37.05572455
13300,38232,59482,,,,36.02710417
13300,81574,103760,6,118.918494,27,24.76962193
13300,86360,116111,8,232.2921386,24,32.01270136
13300,85532,115800,11,175.1914887,27,34.23139353
13300,,27136,27,210.9969755,4,23.80714773
13300,74609,115056,6,77.4451063,14,36.86921264
13300,66174,79957,2,175.962695,34,31.56344122
13300,66502,78138,4,178.1121065,16,33.79509124
13300,79512,92224,9,159.2070876,22,38.94860467
13300,55505,76841,0,222.9130724,10,32.96863267
13300,50039,63784,3,176.8461955,13,27.86558873
13300,25698,58760,15,147.9109824,10,30.96207665
13300,44952,56394,,74.43599333,14,41.0603207
13300,49491,69028,16,195.8776327,15,24.87750841
13400,53699,68084,3,169.8524493,14,25.10971349
13400,131524,148356,4,110.7417416,29,48.34023474
13400,156455,180313,6,210.7182561,25,40.2473728
13400,53294,69042,0,214.3620435,9,36.30954976
13400,88810,102409,19,145.7565967,24,31.33641826
13400,102700,121216,3,124.5640179,25,34.95327869
13400,58307,71810,9,82.70830934,32,36.94779822
13400,9698,65524,9,345.5431065,21,15.76191917
13400,98701,129679,10,179.127926,32,29.54928351
13400,111000,131000,14,165.3333333,26,
13400,67941,84973,6,179.9770702,30,37.42893752
13400,51225,69361,0,261.1896369,21,28.95306771
13400,94102,114147,2,137.707783,21,36.80162473
13400,30507,47990,7,149.935294,29,38.92926589
13400,65662,92050,2,20.7592153,3,42.00939008
13400,78465,97506,5,71.44366499,21,24.47029999
13400,5900,55320,3,234.0218164,16,19.089301
13400,60174,81944,1,125.3854461,9,36.22986386
13400,100784,118708,15,268.1075925,16,36.1587181
13400,69612,87728,3,165.0302675,35,30.44483907
13400,66737,71117,0,163.1318589,34,40.94386627
13400,95084,117279,4,145.9623436,21,39.24466948
13400,,33664,13,108.2170094,8,31.61392956
13400,87175,115530,13,180.9451064,27,33.90005642
13500,68262,93841,26,159.61702,14,40.75298037
13500,59941,69336,29,182.6956696,24,35.51267298
13500,63572,102739,7,250.5613569,12,34.91379344
13500,88738,114815,9,239.7437209,12,41.07711783
13500,63150,77787,10,258.6215011,27,29.33014205
13500,71698,93536,6,202.4658818,19,42.81473465
13500,59352,87767,,300.5794229,19,28.1182969
13500,40023,67357,,,,38.31942585
13500,44586,73764,2,263.9311707,21,29.96620202
13500,40786,66872,,,,35.36413972
13500,91734,114906,12,211.8769452,15,38.10420812
13500,82036,104261,4,98.41775325,33,39.2941028
13500,109258,126101,2,130.77657,25,33.53988748
13500,73000,97000,12,145.2,23,
13500,70000,93500,25,250.6333333,46,
13500,47900,135500,2,276.0666667,43,
13500,42000,62800,6,153.1666667,12,
13500,65000,,14,105.5,34,
13500,80223,108491,4,127.8,27,
13500,83673,109000,2.3,238.4,57,
13500,28000,85999,0,227.2666667,37,
13500,89184,116848,13,174.5064082,18,36.01089152
13500,116123,145597,3,290.3107749,46,34.69906743
13500,67180,85634,5,147.3553126,35,28.52255337
13500,92989,111120,13,209.4605943,15,39.52184453
13500,48832,144065,1,268.5867999,43,42.69239671
13500,117604,136099,15,188.2609728,32,31.63052886
13500,124696,200707,0,348.669492,16,39.55070302
13500,117321,138746,14,183.2620095,33,31.48679667
13600,94727,112683,11,209.1299457,15,37.71410706
13600,66754,80156,5,238.62182,26,31.55270697
13600,64799,84425,14,115.3238836,24,36.85085748
13600,115816,212995,1,114.8430305,14,26.3251112
13600,,35396,11,101.7935233,8,32.66950311
13600,,71904,0,,0,3.265083387
13600,87294,115183,11,185.3385058,28,35.54980874
13600,66178,104378,6,263.9610151,11,36.43846627
13600,89937,110986,14,146.7187425,17,33.74711583
13600,58539,67899,29,194.2738338,23,37.13442194
13600,66098,76014,12,245.6056956,32,43.39620459
13600,18232,75898,19,399.3557015,12,21.26089485
13600,55901,87519,13,107.9131329,23,36.3270224
13600,41000,73440,4,125.7666667,9,
13600,55864,87500,9,193.7666667,20,
13600,30200,43600,0,230.3,18,
13600,70000,88000,16,,0,
13600,90519,110885,12,201.8355908,16,39.66605441
13600,12724,52016,24,269.6287109,19,28.17242611
13600,81620,101933,1,148.0672908,22,41.61289898
13600,7627,59173,7,362.5122503,22,14.26712754
13600,159591,182585,7,199.6986174,25,42.31951831
13600,101377,131079,10,174.3477876,32,27.96913798
13600,39997,56571,6,111.0078189,15,38.77313698
13600,67354,81255,10,255.3787569,36,41.62539858
13600,13202,50848,3,302.2019151,16,16.77857669
13600,112223,144451,0,259.733117,45,35.31021701
13700,94650,109650,3.5,268.8333333,34,
13700,81378,108628,12,181.7225343,27,32.65202263
13700,96225,112676,2,144.5336059,22,38.78104826
13700,38981,67536,,,,35.18815986
13700,84761,95382,,171.9458387,25,41.96010591
13700,74147,92427,7,181.3057998,33,39.27246634
13700,89345,105590,6,201.0424021,37,43.47167729
13700,80300,98088,1,66.72394684,20,36.5165325
